"Season","Team","W","L","G_p","GS","CG","ShO","SV","ER","HR_p","BB_p","K_p","pWAR","G_h","AB","PA","H","1B","2B","3B","HR_h","R","RBI","BB_h","K_h","SB","hWAR","Age","WAR","Wins"
1957,"Indians",73,75,341,151,45,6,22,605,125,601,795,11.6,1847,4852,5575,1224,879,189,25,131,638,625,575,747,37,14.3,28,25.9,76
1957,"Orioles",66,67,294,146,42,11,19,480,90,451,689,15.4,1771,4504,5116,1125,852,160,33,80,510,486,441,611,51,17.7,27,33.1,76
1957,"Phillies",73,73,345,146,53,9,23,554,129,394,825,19.2,1830,5106,5777,1276,907,210,43,116,607,558,526,745,50,12.5,28,31.7,77
1957,"Pirates",60,88,395,151,45,9,15,580,156,393,627,9.3,1781,4657,5113,1240,901,197,54,88,505,475,314,621,31,16.9,26,26.2,62
1957,"Red Sox",73,60,264,128,48,7,17,484,99,412,579,18.4,1813,5201,5920,1371,956,230,32,153,717,693,618,730,29,23,27,41.4,82
1957,"Tigers",75,73,335,154,52,7,20,532,141,494,741,14.6,1716,4968,5589,1274,925,202,35,112,578,532,474,595,33,16.2,26,30.8,78
1957,"White Sox",90,64,355,155,59,14,27,521,124,470,665,14.6,1773,4914,5658,1267,937,192,39,99,645,608,568,684,101,27.9,30,42.5,90
1957,"Yankees",95,55,320,149,39,9,39,453,108,565,794,13.5,1742,4882,5568,1315,941,188,49,137,681,629,536,653,45,32.7,27,46.2,98
1958,"Athletics",48,57,271,118,30,7,15,484,116,331,514,8.7,1315,3621,4023,896,628,138,37,93,441,421,307,531,20,9.5,27,18.2,73
1958,"Braves",92,62,303,154,72,15,17,491,125,426,773,15.3,1820,5159,5780,1377,968,221,21,167,668,635,467,637,26,31.7,28,47,92
1958,"Cardinals",55,67,286,128,40,6,15,490,118,432,673,12.6,1851,4814,5397,1266,931,195,38,102,560,536,490,562,43,10.6,27,23.2,72
1958,"Cubs",69,77,426,146,25,4,24,606,136,584,770,9.3,1860,4704,5259,1238,831,188,45,174,642,610,443,807,37,21.3,26,30.6,72
1958,"Dodgers",68,72,382,146,29,6,22,612,150,554,766,10.5,1880,4975,5589,1258,884,162,48,164,644,605,480,791,73,8.2,27,18.7,71
1958,"Giants",79,74,400,154,38,5,24,609,165,509,771,9.1,2113,5317,5995,1398,937,249,42,170,727,682,531,817,64,23.1,26,32.2,80
1958,"Indians",71,63,293,136,48,2,14,475,106,516,647,9.1,1542,3857,4369,993,693,155,19,126,527,487,403,633,39,18.8,28,27.9,77
1958,"Orioles",72,76,322,150,52,11,28,498,104,391,709,17,1934,4824,5405,1170,866,187,16,101,492,464,458,676,30,11.1,27,28.1,74
1958,"Phillies",69,85,374,154,51,6,15,670,148,445,778,16.9,1846,5121,5815,1369,967,228,55,119,647,612,553,813,51,14.1,27,31,69
1958,"Pirates",80,64,339,148,41,8,36,509,116,451,640,14.3,1863,5198,5722,1378,949,229,67,133,656,621,389,744,30,21.9,27,36.2,84
1958,"Red Sox",78,73,334,155,44,5,28,589,118,513,678,16.6,1842,5031,5749,1298,894,224,27,153,686,649,604,784,29,22.9,27.5,39.5,79
1958,"Tigers",65,67,274,137,57,8,14,430,109,354,676,16.3,1687,4790,5349,1294,943,212,40,99,611,568,416,597,48,19.8,27,36.1,77
1958,"White Sox",73,64,260,149,55,15,16,459,136,426,663,10.1,1752,4793,5430,1241,937,174,39,91,596,532,478,590,98,21.9,30,32,82
1958,"Yankees",81,54,268,137,51,17,31,395,96,466,693,11.9,1726,5186,5851,1399,988,210,38,163,754,703,528,787,48,36.8,28,48.7,92
1959,"Athletics",52,57,285,110,34,7,13,484,112,360,505,8.7,1606,4413,4928,1178,839,202,34,103,582,560,394,655,30,13.1,28,21.8,66
1959,"Braves",86,70,324,157,69,18,18,546,128,429,775,12.8,1842,5136,5713,1370,952,211,34,173,686,660,453,719,38,27.2,28.5,40,86
1959,"Cardinals",66,74,328,141,33,8,19,564,114,497,760,16.9,1933,5048,5616,1370,979,233,47,111,610,573,469,677,61,13.7,25.5,30.6,71
1959,"Cubs",74,77,382,151,30,10,25,582,147,495,751,11.1,1863,5056,5666,1252,856,197,41,158,635,606,474,875,30,17.8,27.5,28.9,74
1959,"Dodgers",88,68,397,156,43,14,26,595,157,614,1077,16.9,1952,5143,5877,1326,949,188,46,143,685,653,576,858,82,17.1,28,34,88
1959,"Giants",83,71,359,154,52,11,23,530,139,500,873,14.3,1925,5251,5859,1373,933,238,35,167,705,660,472,865,81,23.5,27,37.8,83
1959,"Indians",83,63,314,145,53,5,22,536,140,606,741,6.8,1639,4743,5263,1263,899,192,22,150,684,630,389,641,33,24.7,26,31.5,89
1959,"Orioles",73,73,302,144,45,12,30,492,99,427,677,16.8,1835,4757,5385,1131,843,167,20,101,498,482,496,645,32,10.5,28,27.3,74
1959,"Phillies",60,79,276,145,52,8,13,561,136,410,690,11.9,1716,4706,5287,1150,830,179,37,104,552,516,460,798,34,5.7,28,17.6,64
1959,"Pirates",77,74,324,155,48,6,16,573,130,382,699,15,1836,5227,5805,1378,1009,218,41,110,637,598,437,696,32,16.1,28,31.1,78
1959,"Red Sox",70,64,320,144,37,8,22,544,119,522,659,13.9,1905,5120,5863,1316,922,244,28,122,713,668,614,776,67,18.8,27,32.7,75
1959,"Tigers",74,71,308,152,53,9,17,597,168,389,788,13.9,1762,4932,5638,1272,905,185,29,153,682,639,555,672,32,21.5,28,35.4,76
1959,"White Sox",94,60,394,156,44,13,35,521,129,523,761,13.9,1897,4946,5673,1241,902,206,43,90,639,576,554,582,111,25.8,27,39.7,94
1959,"Yankees",76,64,321,133,33,10,28,470,104,529,732,9.8,1679,4761,5292,1247,874,205,37,131,612,557,408,725,41,22.8,28,32.6,79
1960,"Athletics",57,92,361,152,44,4,14,635,156,488,644,11.7,1706,4427,4978,1116,823,183,27,83,537,458,446,617,15,3.8,27,15.5,58
1960,"Braves",84,66,306,148,55,11,27,543,122,487,755,6.8,1784,5096,5684,1346,940,191,46,169,704,659,450,774,69,27.8,27,34.6,88
1960,"Cardinals",75,59,305,128,34,7,29,463,106,427,759,15.6,2006,4960,5554,1266,886,208,45,127,613,555,481,743,48,14.2,25,29.8,86
1960,"Cubs",52,80,385,130,30,4,25,592,133,497,676,4.8,1790,4484,5021,1093,759,183,44,107,542,501,439,734,42,11.5,25,16.3,60
1960,"Dodgers",82,71,345,154,46,11,19,517,153,556,1107,16.6,1944,5181,5885,1324,946,215,38,125,659,605,525,825,95,19.2,27,35.8,82
1960,"Giants",79,75,370,156,55,16,26,534,107,512,897,15.8,1849,5209,5795,1338,930,220,62,126,662,609,454,825,86,21.3,27,37.1,79
1960,"Indians",67,68,318,144,31,8,28,537,150,592,709,4.2,1547,4302,4805,1151,845,179,18,109,545,542,350,474,52,17.8,25,22,76
1960,"Orioles",89,65,331,154,48,10,22,538,117,552,785,14.1,1902,4803,5491,1224,886,190,31,117,623,615,549,753,31,23.6,27,37.7,89
1960,"Phillies",58,93,344,148,45,6,16,591,126,422,711,12.4,1484,3536,3950,823,601,124,28,70,361,348,318,761,15,1.7,26,14.1,59
1960,"Pirates",79,54,322,132,39,8,30,484,98,329,719,17.4,1871,5345,5957,1486,1074,236,56,120,732,685,483,729,34,30.4,29,47.8,95
1960,"Red Sox",64,86,383,152,34,6,21,677,125,556,742,16,1544,3866,4413,1005,709,175,23,98,483,465,435,595,21,8.3,27,24.3,65
1960,"Reds",57,79,351,139,32,7,31,558,118,411,656,11.6,1769,4749,5324,1193,834,204,37,118,575,535,449,730,70,15.3,28,26.9,67
1960,"Tigers",63,75,307,148,39,7,22,521,127,434,782,20.3,1694,4773,5504,1153,798,176,34,145,587,566,590,679,62,14,28,34.3,71
1960,"White Sox",79,62,345,147,40,9,24,489,113,468,603,11.1,1847,5068,5816,1377,989,238,38,112,728,672,551,623,121,29,31,40.1,87
1960,"Yankees",97,57,418,155,38,12,42,546,123,609,712,9.2,1968,5025,5676,1307,886,201,38,182,706,660,500,774,37,32.1,28,41.3,97
1961,"Angels",54,59,302,119,24,3,24,449,112,450,627,11.7,1714,3976,4620,964,641,167,14,142,548,508,531,787,31,11.4,27,23.1,70
1961,"Athletics",42,66,298,109,23,5,17,500,95,449,505,9.4,1431,3798,4339,982,727,159,36,60,481,440,425,532,46,5.3,25,14.7,61
1961,"Braves",82,71,340,155,57,8,16,593,151,490,644,6.3,1546,4542,5126,1183,819,174,31,159,629,576,474,765,66,29.2,27,35.5,83
1961,"Cardinals",79,74,320,155,49,9,20,558,133,555,808,17.9,1837,4732,5305,1302,940,218,49,95,632,592,445,671,39,18.3,25,36.2,80
1961,"Cubs",64,86,383,156,34,6,25,663,158,447,732,11.9,1950,5250,5901,1346,887,234,51,174,680,643,534,1009,34,11.7,25,23.6,64
1961,"Dodgers",83,58,338,154,40,8,24,563,155,494,1020,17.4,1900,4909,5620,1299,928,185,40,146,699,639,569,740,86,15.5,25,32.9,89
1961,"Giants",85,69,390,155,39,8,30,582,152,502,924,12.3,1847,4886,5484,1297,886,210,31,170,733,657,462,721,78,24.2,26,36.5,85
1961,"Indians",78,78,357,154,35,9,22,617,168,559,765,7.4,1757,5255,5863,1396,987,236,37,136,701,626,468,669,33,21,25,28.4,78
1961,"Orioles",95,67,331,163,54,20,33,526,109,617,926,19.1,1938,5234,5926,1342,943,220,36,143,672,617,544,869,38,25.5,27,44.6,95
1961,"Phillies",45,106,407,155,29,7,13,701,152,515,765,10.4,1692,4034,4573,963,720,137,42,64,440,386,395,729,51,4.7,25,15.1,47
1961,"Pirates",70,77,376,143,28,8,28,562,114,379,714,17.2,1803,5095,5641,1395,990,224,56,125,677,625,420,682,26,18.6,30,35.8,75
1961,"Red Sox",76,86,394,163,35,6,30,688,167,679,831,12.4,1854,5167,5920,1312,941,235,35,101,695,617,609,801,56,12.6,28,25,76
1961,"Reds",87,59,348,143,43,8,39,546,136,478,787,14.1,1683,4523,4998,1247,840,221,31,155,627,629,363,678,65,22.8,26,36.9,93
1961,"Tigers",90,53,305,151,59,9,24,496,148,394,744,18.9,1873,5427,6230,1460,1017,213,53,177,826,769,666,829,96,32.8,26,51.7,101
1961,"Twins",67,89,341,158,49,14,23,631,149,521,872,17.7,1573,4178,4779,1068,726,171,29,142,570,531,497,680,42,15.3,26,33,70
1961,"White Sox",67,61,347,130,32,3,31,517,124,408,672,11.5,1822,5176,5851,1388,1014,201,43,130,720,661,515,552,99,21.9,29,33.4,86
1961,"Yankees",97,37,295,136,39,11,38,442,104,444,728,14.7,1738,5221,5863,1393,940,182,39,232,788,754,513,734,27,36.6,28,51.3,109
1962,"Angels",70,63,425,137,19,9,41,507,95,526,714,10.8,2029,5356,6097,1352,955,225,35,137,704,662,591,870,43,17.4,27,28.2,86
1962,"Athletics",71,89,422,159,32,4,33,739,190,637,802,8.5,1892,5177,5847,1367,1002,205,55,105,703,638,513,733,74,13.3,27,21.8,72
1962,"Braves",82,70,335,156,59,9,23,544,142,376,758,12.6,1871,5146,5817,1288,887,190,35,176,690,653,560,945,57,26.2,26,38.8,86
1962,"Cardinals",77,71,293,162,52,17,19,535,139,457,813,19.6,1958,5414,6057,1472,1094,212,31,135,744,683,501,811,81,23.1,26,42.7,84
